complex,prediction,n,entrez
Itgb1-Rap1a-Prkd1 complex,PLASMA MEMBRANE,3,16412; 109905; 18760
ITGB1BP1-KRIT1-RAP1A complex,PLASMA MEMBRANE,3,79264; 16413; 109905
ITGB2-RACK1 complex,LARGE PROTEIN COMPLEX,2,16414; 14694
ITGB3-ITGAV-CD47 complex,PLASMA MEMBRANE,3,16416; 16410; 16423
ITGB3-ITGAV-VTN complex,PLASMA MEMBRANE,3,22370; 16416; 16410
ITGB5-ITGAV-VTN complex,PLASMA MEMBRANE,3,22370; 16410; 16419
ITGB6-FYN-FN1 complex,PLASMA MEMBRANE,3,14268; 14360; 16420
"ITK-SLP-76 complex, anti-TCR stimulated",UNCLASSIFIED,2,16428; 16822
JAK2-PAFR-TYK2 complex,SECRETORY,3,16452; 19204; 54721
JBP1-pICln complex,LARGE PROTEIN COMPLEX,3,27374; 20638; 12729
JIP1-JIP2 complex,CYTOSOL,2,60597; 19099
JUN-FBW7-PRR7 complex,UNKNOWN,3,16476; 432763; 50754
JUND-FOSB-SMAD3-SMAD4 complex,NUCLEUS,4,16478; 14282; 17127; 17128
JUND-TAP1 complex,ENDOPLASMIC RETICULUM|NUCLEUS,2,16478; 21354
Kaiso-NCOR complex,LARGE PROTEIN COMPLEX,10,15183; 21372; 230674; 20185; 16551; 56310; 56805; 107684; 81004; 94093
Karyopherin complex,LARGE PROTEIN COMPLEX,3,19228; 16211; 16646
KAT2A-Oxoglutarate dehydrogenase complex,MITOCHONDRIA,4,13382; 78920; 18293; 14534
KAT2A-TRRAP complex,NUCLEUS,2,14534; 100683
KAT2B-KIF11-MYSM1 complex,NUCLEUS,3,16551; 320713; 18519
KATNA1-KATNAL1-KATNB1-KATNBL1 complex,CYTOSOL|UNKNOWN,4,23924; 74187; 231912; 72425
Kcna1-Kcna3 complex,CYTOSOL,2,16485; 16491
Kcna1-Kcna4-Kcnab1-Lgi1 complex,CYTOSOL,4,16485; 16492; 16497; 56839
Kcna1-Kcna5 complex,UNCLASSIFIED,2,16485; 16493
Kcna1-Kcnab1 complex,CYTOSOL,2,16485; 16497
Kcna1-Kcnab3 complex,UNCLASSIFIED,2,16485; 16499
Kcna1-Lgi1 complex,UNCLASSIFIED,2,16485; 56839
Kcna1-Stx1b complex,PLASMA MEMBRANE,2,16485; 56216
Kcna1-Stxbp1 complex,ENDOSOME|LARGE PROTEIN COMPLEX|PLASMA MEMBRANE,2,16485; 20910
Kcna1-Syt1 complex,ENDOSOME|SECRETORY,2,16485; 20979
Kcna2-Kcnab2 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,16498; 16490
KCND3-KCNIP4 complex,UNCLASSIFIED,2,80334; 56543
KCNE2-KCNH2 complex,UNCLASSIFIED,2,16511; 246133
KCNJ11-ABCC9 complex,SECRETORY,2,20928; 16514
KCNMA1-LRRC26 complex,SECRETORY,2,16531; 227618
KCNQ1 homotetramer,UNCLASSIFIED,1,16535
KCNQ1-Kcne1 complex,UNCLASSIFIED,2,16509; 16535
KCNQ1-KCNE2 complex,UNCLASSIFIED,2,16535; 246133
KCNQ1-KCNE3 complex,UNCLASSIFIED,2,16535; 57442
KCNQ1-KCNE4 complex,UNCLASSIFIED,2,16535; 57814
KCNQ1-KCNE5 complex,UNCLASSIFIED,2,16535; 66240
KCNQ2-KCNQ3 complex,SECRETORY,2,110862; 16536
KCNQ3-KCNQ5 complex,SECRETORY,2,110862; 226922
KCTD12-GNB1-GNG2 complex,PLASMA MEMBRANE,3,14702; 14688; 239217
KCTD16-GNB1-GNG2 complex,PLASMA MEMBRANE,3,14702; 14688; 383348
KCTD8-GNB1-GNG2 complex,PLASMA MEMBRANE,3,14702; 14688; 243043
Kdm1a-Plod2 complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,99982; 26432
KDM8-RCCD1 complex,CYTOSOL,2,269955; 77035
Keap1-Nrf2 complex,LARGE PROTEIN COMPLEX,2,18024; 50868
Keap1-Nrf2-Cul3 complex,LARGE PROTEIN COMPLEX,3,18024; 26554; 50868
Khdc3-Nlrp5-Ooep-Tle6 complex,UNCLASSIFIED,4,67968; 66991; 23968; 114606
KHDC3L-NLRP5-OOEP-TLE6 complex,UNCLASSIFIED,4,67968; 23968; 66991; 114606
KIAA0753-FOR20-OFD1 complex,UNKNOWN,3,237222; 74477; 66086
KIAA1468-OSBP-RAB11A complex,UNKNOWN,3,76303; 53869; 227446
KICSTOR complex,CYTOSOL,4,230676; 101142; 270802; 70394
Kidins220-Magi2-Ntrk1-Rapgef2 complex,UNKNOWN,4,76089; 50791; 18211; 77480
Kidins220-Ngfr-Ntrk1 complex,ENDOSOME|PLASMA MEMBRANE|UNKNOWN,3,18053; 18211; 77480
Kif13a-AP1 complex,LARGE PROTEIN COMPLEX,4,11764; 11765; 11767; 16553
Kif15-Myh10 complex,ACTIN BINDING PROTEINS|CYTOSOL|UNKNOWN,2,209737; 77579
Kif17-Lin10 complex,CYTOSOL|UNKNOWN,2,234678; 16559
Kif17-Lin10-Lin2-Lin7-NR2B complex,PLASMA MEMBRANE|UNKNOWN,5,319924; 12361; 14812; 108030; 16559
Kif1ba-Dlg4-Dlg1-Magi2 complex,LARGE PROTEIN COMPLEX|PLASMA MEMBRANE,4,50791; 16561; 13385; 13383
KIF23-RACGAP1 complex,NUCLEUS,2,71819; 26934
Kif3-cadherin-catenin complex,PLASMA MEMBRANE,5,12558; 12388; 16579; 12387; 16569
Kif3a-Pard3-Prkci complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,3,18759; 16568; 93742
KIF3A/B-PAR-3-aPKC-PAR-6 complex,CYTOSOL|UNKNOWN,5,16569; 18759; 93742; 56513; 16568
Kif5b-Dtnb complex,ACTIN BINDING PROTEINS|CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,13528; 16573
KIF5B-SPG33 complex,ACTIN BINDING PROTEINS|CYTOSOL|ENDOPLASMIC RETICULUM|LARGE PROTEIN COMPLEX|SECRETORY|UNKNOWN,2,16573; 319740
KIF5C-SPG33 complex,CYTOSOL|ENDOPLASMIC RETICULUM|LARGE PROTEIN COMPLEX|SECRETORY|UNKNOWN,2,16574; 319740
KIN17-PCNA-RPA70 complex,LARGE PROTEIN COMPLEX,3,16588; 18538; 68275
Kinase maturation complex 1,LARGE PROTEIN COMPLEX,16,15519; 15516; 22630; 54401; 15525; 22628; 22627; 22631; 22629; 23938; 12539; 224619; 13728; 26406; 68559; 18637
Kinase maturation complex 2,CYTOSOL,8,73174; 15519; 15516; 22030; 12539; 21353; 27215; 56480
Kinesin II complex (Kif3a-Kif3b-Kifap3),CYTOSOL|UNKNOWN,3,16568; 16579; 16569
Kir4.1-alpha-1-syntrophin complex,UNKNOWN,2,20648; 16513
"Kir4.1-Aqp4 complex, retinal Mueller cells",UNCLASSIFIED,2,11829; 16513
Kir4.1-beta-dystroglycan complex,PLASMA MEMBRANE,2,16513; 13138
"Kir4.1-dystrobrevin complex, retinal Mueller cells",UNCLASSIFIED,2,16513; 13528
Kir4.1-dystrophin complex,PLASMA MEMBRANE,2,13405; 16513
Kir6.2-Sur1 complex,NUCLEUS|SECRETORY,2,20927; 16514
KLC2-nKHC-uKHC kinesin complex,CYTOSOL|LARGE PROTEIN COMPLEX,3,16594; 16572; 16573
Klf5-Pias1 complex,UNCLASSIFIED,2,56469; 12224
KMT2E-OGT-USP7 complex,LARGE PROTEIN COMPLEX,3,108155; 69188; 252870
KNL1-MIS12-NDC80-SPC24-ZWINT complex,UNKNOWN,5,67052; 52696; 67629; 76464; 67139
KNTC1-ZW10-ZWILCH complex,UNKNOWN,3,26951; 208628; 68014
KPNA2-KPNB1 complex,LARGE PROTEIN COMPLEX,2,16647; 16211
KPNB1-RAN complex,LARGE PROTEIN COMPLEX,2,19384; 16211
KRIT1-HEG1-RAP1B complex,PLASMA MEMBRANE,3,79264; 215449; 77446
"Ksr1 complex (Ksr1, Mek, 14-3-3, Mapk), EGF stimulated",LARGE PROTEIN COMPLEX,4,26395; 26413; 22631; 16706
"Ksr1 complex (Ksr1, Mek, 14-3-3), unstimulated",CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,3,26395; 22631; 16706
KSR1 homo-oligomer complex,CYTOSOL|UNKNOWN,1,16706
KSR1-BRAF-MEK complex,CYTOSOL|UNKNOWN,3,109880; 26395; 16706
Ksr1-CK2 complex,LARGE PROTEIN COMPLEX,4,13000; 13001; 12995; 16706
"Ksr1-CK2-MEK-14-3-3 complex, PDGF treated",LARGE PROTEIN COMPLEX,6,13000; 26395; 22631; 13001; 12995; 16706
"Ksr1-Mek-Braf complex, EGF induced",CYTOSOL|UNKNOWN,3,109880; 26395; 16706
"Ksr1-Mek-Braf-Erk complex, EGF induced",CYTOSOL|UNKNOWN,4,109880; 26395; 16706; 26417
"Ksr1-PP2A core enzyme complex (Ppp2r1a, Ppp2ca), untreated",LARGE PROTEIN COMPLEX|UNKNOWN,3,19052; 16706; 51792
"Ksr1-PP2A holoenzyme complex (Ppp2r1a, Ppp2r2b, Ppp2ca), PDGF stimulated",LARGE PROTEIN COMPLEX|UNKNOWN,4,19052; 16706; 72930; 51792
KSR1-RAF1-MEK complex,CYTOSOL|UNKNOWN,3,110157; 26395; 16706
Ku antigen complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,14375; 22596
Ku antigen-NARG1 complex,LARGE PROTEIN COMPLEX,3,14375; 22596; 74838
Ku antigen-YY1-alphaMyHC promoter complex,NUCLEUS,3,14375; 22596; 22632
Ku-ORC complex,NUCLEUS,6,26428; 14375; 22596; 18393; 50793; 56452
Kv4.1-Dpp10 channel complex,CYTOSOL,2,16506; 269109
Kv4.1-Dpp6 channel complex,UNCLASSIFIED,2,16506; 13483
Kv4.2-Dpp10 channel complex,CYTOSOL,2,16508; 269109
Kv4.2-DPP10 channel complex,CYTOSOL,2,269109; 16508
Kv4.2-Dpp6 channel complex,UNCLASSIFIED,2,13483; 16508
Kv4.2-DPPX-KChIP channel complex,UNCLASSIFIED,3,13483; 16508; 70357
Kv4.2-Kchip1 channel complex,UNCLASSIFIED,2,16508; 70357
Kv4.2-Kchip3 channel complex,UNCLASSIFIED,2,16508; 56461
Kv4.2-KChIP3-Dpp10 channel complex,CYTOSOL,3,16508; 269109; 56461
Kv4.2-Kchip4 channel complex,UNCLASSIFIED,2,16508; 80334
Kv4.2-Kv4.3 channel complex,UNCLASSIFIED,2,56543; 16508
Kv4.3-Dpp10 channel complex,CYTOSOL,2,56543; 269109
Kv4.3-Dpp6 channel complex,UNCLASSIFIED,2,13483; 56543
Kv4.3-Kchip1 channel complex,UNCLASSIFIED,2,56543; 70357
"Lab-Grb2 complex, BCR stimulated",LARGE PROTEIN COMPLEX,2,14784; 56743
LAP1-TOR1A complex,ENDOPLASMIC RETICULUM|NUCLEUS,2,30931; 208263
LARC complex (LCR-associated remodeling complex),NUCLEUS,19,93760; 23942; 17192; 56456; 15381; 20586; 11461; 19646; 20587; 433759; 107932; 68094; 229542; 15182; 19708; 20588; 83796; 57376; 17191
LARP1-PABPC1-RYDEN complex,LARGE PROTEIN COMPLEX,3,18458; 73158; 319278
LAS1L-PELP1-TEX10-WDR18-NOL9-SENP3  complex,LARGE PROTEIN COMPLEX|NUCLEUS,6,74035; 75273; 216156; 80886; 269536; 76130
"LAT-GRB2 complex, Fyn-mLck(KA) or Syk kinase activated",LARGE PROTEIN COMPLEX,2,16797; 14784
"LAT-PLC-gamma-1-p85-GRB2-CBL-VAV-SLP-76 signaling complex, C305 activated",UNKNOWN,7,16797; 22324; 18803; 12402; 18708; 14784; 16822
"LAT-PLC-gamma-1-p85-GRB2-SOS signaling complex, C305 activated",UNKNOWN,5,16797; 18803; 18708; 14784; 20662
LAT2-ITGB1 complex,PLASMA MEMBRANE,2,16412; 50934
LATS1-HTRA2-BIRC4 complex,MITOCHONDRIA,3,64704; 16798; 11798
LATS1-NPHP4 complex,CYTOSOL|ENDOSOME|LARGE PROTEIN COMPLEX|UNKNOWN,2,260305; 16798
LATS2-SIAH2-ZYX complex,CYTOSOL,3,20439; 22793; 50523
"LCK-SLP76-PLC-gamma-1-LAT complex, pervanadate-activated",ACTIN BINDING PROTEINS|CYTOSOL|SECRETORY|UNKNOWN,4,16797; 16818; 18803; 16822
Ldb1-Lmo2-Gata-1-Tal1-E47 complex,LARGE PROTEIN COMPLEX,5,21423; 14460; 21349; 16909; 16825
Lef1-Tle1 complex,NUCLEUS|UNKNOWN,2,16842; 21885
Lef1-Tle1-Ctnnb1 complex,PLASMA MEMBRANE,3,16842; 12387; 21885
LGR5-RNF43-RSPO1 complex,UNCLASSIFIED,3,14160; 192199; 207742
LIFR-LIF-gp130 complex,SECRETORY|UNKNOWN,3,16878; 16195; 16880
Limd1-p62-Traf6-Prkcz complex,CYTOSOL|UNKNOWN,4,22034; 18762; 18412; 29806
LIN2-LIN7 complex,PLASMA MEMBRANE|UNKNOWN,2,108030; 12361
LIN2-LIN7-SAP97 complex,PLASMA MEMBRANE,3,108030; 12361; 13383
LIN2-LIN7-SAP97-MINT1 complex,PLASMA MEMBRANE,4,108030; 12361; 319924; 13383
LIN2-SAP97 complex,PLASMA MEMBRANE,2,12361; 13383
Lin7b-MPP5-Patj complex,ACTIN BINDING PROTEINS,3,12695; 22342; 56217
LIN9-BMYB complex,NUCLEUS,2,17865; 72568
"LINC complex, quiescent cells",NUCLEUS,7,19651; 19646; 104394; 217708; 72568; 231506; 75660
"LINC complex, S-phase",NUCLEUS,7,17865; 19650; 19646; 217708; 72568; 231506; 75660
LINC core complex,NUCLEUS,5,19646; 217708; 72568; 231506; 75660
LINGO1-RTN4R-NGFR complex,CYTOSOL|SECRETORY,3,18053; 235402; 65079
LKB1-STRAD-MO25 complex,CYTOSOL,3,20869; 72149; 12283
LLGL1-PAR-6B-PRKCI complex,UNKNOWN,3,18759; 16897; 58220
LLGL2-PAR-6B-PRKCI complex,CYTOSOL|UNKNOWN,3,18759; 217325; 58220
LMO4-BRCA1-CTIP-LDB1 complex,NUCLEUS,4,12189; 16911; 16825; 225182
LMO4-CREB complex,NUCLEUS,2,12912; 16911
LMO4-gp130 complex,PLASMA MEMBRANE,5,12702; 16451; 16195; 16911; 19247
Lnx1-Jam4-Numb complex,PLASMA MEMBRANE,3,16924; 72058; 18222
LPAR2-SIVA1 complex,UNCLASSIFIED,2,30954; 53978
"LPAR2-TRIP6-NHERF2 complex, LPA stimulated",UNKNOWN,3,65962; 22051; 53978
LRP-1-Alpha-2-M-annexin VI complex,UNKNOWN,3,232345; 11749; 16971
Lrp6-Pth-Pth1r complex,PLASMA MEMBRANE|SECRETORY|UNKNOWN,3,16974; 19226; 19228
LRP6-PTH-PTH1R complex,PLASMA MEMBRANE|SECRETORY|UNKNOWN,3,16974; 19226; 19228
LRRC8A-LRRC8C complex,PLASMA MEMBRANE,2,241296; 100604
LRRC8A-LRRC8D complex,PLASMA MEMBRANE,2,231549; 241296
LRRC8A-LRRC8E complex,PLASMA MEMBRANE,2,72267; 241296
LRRK2-FADD-CASP8 complex,CYTOSOL,3,14082; 12370; 66725
LSD1-CoREST complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,99982; 217864
LSm1-7 complex,LARGE PROTEIN COMPLEX,7,67207; 67678; 78651; 66094; 27756; 66373; 50783
LSm2-8 complex,LARGE PROTEIN COMPLEX,7,76522; 67678; 78651; 66094; 27756; 66373; 50783
LTBR homodimer complex,PLASMA MEMBRANE|SECRETORY,1,17000
LUBAC complex,CYTOSOL|UNKNOWN,3,268749; 24105; 106025
Lymphotoxin beta receptor complex,PLASMA MEMBRANE|SECRETORY,3,16992; 17000; 16994
LysRS-Hint-Mitf complex,LARGE PROTEIN COMPLEX,3,17342; 15254; 85305
M1 mAChR-TRPC6-PKC complex,CYTOSOL|SECRETORY|UNKNOWN,3,18750; 12669; 22068
MAD-MAX complex,NUCLEUS,2,17187; 17119
Mad-Max-mSin3a complex,NUCLEUS,3,17187; 17119; 20466
Mad-Max-mSin3B complex,NUCLEUS,3,17187; 17119; 20467
MAD1-mSin3A-HDAC2 complex,NUCLEUS,3,17119; 15182; 20466
MAD2-CDC20 complex,CYTOSOL|LARGE PROTEIN COMPLEX|NUCLEUS,2,107995; 56150
MAF2 complex,NUCLEUS,2,67773; 21761
MAGT5-SLC35A3 complex,GOLGI,2,107895; 229782
MAK-ACTR-AR complex,CYTOSOL|NUCLEUS|UNKNOWN,3,11835; 17152; 17979
MALT1 homo-oligomer complex,CYTOSOL|UNKNOWN,1,240354
MAML1-RBP-Jkappa-Notch1 complex,NUCLEUS,3,19664; 18128; 103806
MAML1-RBP-Jkappa-Notch2 complex,NUCLEUS,3,18129; 19664; 103806
MAML1-RBP-Jkappa-Notch3 complex,NUCLEUS,3,19664; 18131; 103806
MAML1-RBP-Jkappa-Notch4 complex,NUCLEUS,3,19664; 18132; 103806
MAML2-RBP-Jkappa-Notch2 complex,NUCLEUS,3,19664; 18129; 270118
MAML2-RBP-Jkappa-Notch3 complex,NUCLEUS,3,19664; 18131; 270118
MAML2-RBP-Jkappa-Notch4 complex,NUCLEUS,3,19664; 270118; 18132
MAML3-RBP-Jkappa-Notch1 complex,NUCLEUS,3,19664; 18128; 433586
MAML3-RBP-Jkappa-Notch2 complex,NUCLEUS,3,19664; 18129; 433586
MAML3-RBP-Jkappa-Notch3 complex,NUCLEUS,3,19664; 18131; 433586
MAML3-RBP-Jkappa-Notch4 complex,NUCLEUS,3,19664; 433586; 18132
MAN1-SMAD2 complex,LARGE PROTEIN COMPLEX|NUCLEUS|UNKNOWN,2,17126; 380664
MAP2K1-BRAF-RAF1-YWHAE-KSR1 complex,CYTOSOL|UNKNOWN,5,110157; 109880; 22627; 26395; 16706
MAP2K4-MAP3K3-NBR1 complex,CYTOSOL|UNKNOWN,3,26398; 17966; 26406
MAPK1-PTK2-PXN complex,LARGE PROTEIN COMPLEX,3,26413; 19303; 14083
MAPK6-MAPKAPK5-SEPT7 complex,LARGE PROTEIN COMPLEX,3,235072; 50772; 17165
Masp1-Mbl2 complex,UNCLASSIFIED,2,17195; 17174
Masp2-Mbl2 complex,CYTOSOL,2,17195; 17175
MBD1-MCAF complex,NUCLEUS,2,54343; 17190
MBD1-MCAF1-SETDB1 complex,NUCLEUS,3,84505; 54343; 17190
MBD1-Suv39h1-HP1 complex,NUCLEUS,3,20937; 12419; 17190
MCL1-BAK1 complex,MITOCHONDRIA,2,17210; 12018
MCL1-NOXA complex,UNCLASSIFIED,2,17210; 58801
MCM complex,LARGE PROTEIN COMPLEX,6,17215; 17217; 17218; 17220; 17216; 17219
MCM2-MCM4-MCM6-MCM7 complex,LARGE PROTEIN COMPLEX,4,17217; 17220; 17216; 17219
MCM4-MCM6-MCM7 complex,LARGE PROTEIN COMPLEX,3,17217; 17220; 17219
MCM8-ORC2-CDC6 complex,UNKNOWN,3,18393; 23834; 66634
MDC1-H2AFX-TP53BP1 complex,NUCLEUS,3,15270; 27223; 240087
MDC1-MRE11-RAD50-NBS1 complex,NUCLEUS,4,27354; 17535; 240087; 19360
MDC1-MRN-ATM-FANCD2 complex,NUCLEUS,6,27354; 17535; 11920; 240087; 19360; 211651
MDC1-p53BP1-SMC1 complex,NUCLEUS,3,27223; 240087; 24061
Mdl1-Dap12-Dap10 complex,UNCLASSIFIED,3,22177; 23900; 23845
Mdm2-P53 complex,LARGE PROTEIN COMPLEX|NUCLEUS,4,22059; 17246; 12578; 67025
MeCP1 complex,NUCLEUS,9,23942; 17192; 19646; 433759; 107932; 245688; 15182; 17191; 229542
MeCP2-SIN3A-HDAC complex,NUCLEUS,4,17257; 433759; 15182; 20466
MED18-MED20-MED29 mediator subcomplex,UNKNOWN,3,67219; 56771; 67224
Mediator complex,NUCLEUS,16,26896; 57261; 216154; 234959; 69792; 108098; 67381; 66213; 56771; 59024; 230753; 264064; 51813; 70208; 19014; 23989
Mediator complex 1,NUCLEUS,5,26896; 69792; 51813; 264064; 70208
Mediator complex 2,NUCLEUS,3,26896; 69792; 70208
Meiob-Rpa2-Spata22 complex,LARGE PROTEIN COMPLEX,3,380709; 19891; 75178
Meiotic cohesin complex,LARGE PROTEIN COMPLEX|NUCLEUS,4,20962; 56739; 140557; 13006
Meis2-Pbx1-Pdx1 complex,LARGE PROTEIN COMPLEX|NUCLEUS,3,18514; 18609; 17536
Mekk1-Axin complex,UNKNOWN,2,12005; 26401
"Membrane protein complex (VCP, UFD1L, SEC61B)",LARGE PROTEIN COMPLEX,3,269523; 66212; 22230
"Membrane-associated multicomponent signaling complex, anti-CD40 stimulated (Cd40, Ikbkg, Map3k1, Traf2, Ube2n)",CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,5,16151; 21939; 22030; 26401; 93765
MEP50-PRMT5-ICLN complex,LARGE PROTEIN COMPLEX,3,27374; 12729; 70465
Meprin A,UNCLASSIFIED,2,17287; 17288
Merlin-ERM-moesin-CD44 complex,PLASMA MEMBRANE,4,17698; 12505; 22350; 18016
Metaxin complex,MITOCHONDRIA,2,53375; 17827
Methionine adenosyltransferase alpha1 beta-v1,CYTOSOL,2,11720; 108645
Methionine adenosyltransferase alpha2 beta-v1,CYTOSOL|LARGE PROTEIN COMPLEX,2,232087; 108645
MGAT1-NGT complex,GOLGI,2,17308; 229782
MGAT2-SLC35A3 complex,GOLGI,2,217664; 229782
MGAT4B-SLC35A3 complex,MITOCHONDRIA|SECRETORY|UNKNOWN,2,103534; 229782
MGC1-DNA-PKcs-Ku complex,NUCLEUS,4,14375; 22596; 19090; 240087
mGluR2-mGluR4 complex,MITOCHONDRIA,2,108068; 268934
mGluR2-mGluR7 complex,UNCLASSIFIED,2,108068; 108073
mGluR2-mGluR8 complex,UNCLASSIFIED,2,14823; 108068
mGluR3-mGluR4 complex,MITOCHONDRIA,2,108069; 268934
mGluR3-mGluR7 complex,UNCLASSIFIED,2,108073; 108069
mGluR3-mGluR8 complex,UNCLASSIFIED,2,14823; 108069
Mi-2/NuRD-MTA3 complex,NUCLEUS,5,23942; 17192; 12053; 433759; 116871
Mi2/NuRD complex,NUCLEUS,7,23942; 17192; 19646; 433759; 107932; 245688; 15182
Mi2/NuRD-BCL6-MTA3 complex,NUCLEUS,5,17192; 12053; 433759; 107932; 116871
MIB complex,MITOCHONDRIA,11,53375; 17827; 76614; 433771; 224904; 68117; 66098; 68316; 230935; 66075; 68653
MICALL1-RAB13 complex,PLASMA MEMBRANE,2,68328; 27008
MiCEE complex,NUCLEUS,6,57316; 50912; 14056; 52615; 13626; 27998
MICOS complex,MITOCHONDRIA,7,76614; 433771; 224904; 68117; 66098; 68316; 66075
Microprocessor complex,UNKNOWN,5,21803; 21812; 21813; 94223; 14000
MiDAC complex,NUCLEUS,4,433759; 238317; 15182; 76233
Mili-Tdrd1-Tdrd12 complex,UNCLASSIFIED,3,57746; 83561; 71981
MIRO2-Milton complex,MITOCHONDRIA,2,214952; 67095
MIS18 complex,NUCLEUS,3,70645; 217653; 66578
mitochondrial calcium uniporter complex,MITOCHONDRIA,5,68514; 215999; 216001; 69029; 66815
mitochondrial permeability  transition pore (PTP) complex (PPIF-SPG7-VDAC1),MITOCHONDRIA,3,22333; 105675; 234847
Mitotic checkpoint complex (MCC),LARGE PROTEIN COMPLEX,4,12237; 12236; 107995; 56150
MITRAC12-SURF1-COX1 complex,MITOCHONDRIA,3,17708; 20930; 52469
MITRAC7-COX1 complex,MITOCHONDRIA,2,17708; 66278
MKK4-ARRB2-ASK1 complex,CYTOSOL,3,216869; 26398; 26408
MKK4-ARRB2-JNK3 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,3,216869; 26398; 26414
MKKS-BBS12 complex,MITOCHONDRIA,2,241950; 59030
MKP3-CK2alpha complex,LARGE PROTEIN COMPLEX,2,12995; 67603
MKS1-TMEM67 complex,SECRETORY,2,329795; 380718
MLL-HCF complex,NUCLEUS,7,17283; 15160; 15161; 140858; 214162; 213464; 23808
MLL1 complex,NUCLEUS,8,17283; 108155; 15161; 140858; 214162; 213464; 66310; 23808
MLL1 core complex,NUCLEUS,4,140858; 214162; 213464; 23808
MLL1-WDR5 complex,NUCLEUS,27,228980; 232714; 50496; 270627; 15525; 21343; 15161; 140858; 214162; 213464; 24074; 108143; 225280; 76719; 104457; 75273; 68988; 51812; 19821; 228829; 80886; 67773; 67772; 269536; 23808; 56505; 76130
MLL2 complex,NUCLEUS,10,17283; 381022; 108155; 101739; 15161; 140858; 213464; 66310; 23808; 67933
Mlx-Mad1 complex,CYTOSOL,2,21428; 17119
MMACHC-MMADHC complex,CYTOSOL,2,109129; 67096
MMP-2-CLDN1 complex,UNKNOWN,2,12737; 17390
MMP-9-TIMP-1-LRP complex,UNKNOWN,3,21857; 17395; 16971
MMP14-CLDN1 complex,LYSOSOME|UNKNOWN,2,12737; 17387
Mmp2-Timp2 complex,UNKNOWN,2,21858; 17390
MMS19 complex,UNKNOWN,4,26371; 72199; 67563; 68523
MMS19-FAM96B complex,LARGE PROTEIN COMPLEX|UNKNOWN,2,72199; 68523
MMS19-XPD complex,LARGE PROTEIN COMPLEX,2,13871; 72199
MMXD complex,LARGE PROTEIN COMPLEX|MITOCHONDRIA,5,26371; 11740; 13871; 72199; 68523
MNK1-eIF4F complex,LARGE PROTEIN COMPLEX,4,13684; 13681; 208643; 17346
Modulator,LARGE PROTEIN COMPLEX,3,67089; 67151; 19182
Molybdopterin synthase,CYTOSOL,1,17434
MondoA-Mlx complex,CYTOSOL,2,21428; 208104
mPar6c-Mlgl-aPKC complex,PLASMA MEMBRANE|UNKNOWN,3,18759; 16897; 56513
mPar6c-Mlgl-aPKCz complex,PLASMA MEMBRANE,3,18762; 16897; 56513
MPP4-MPP5-CRB1 complex,ACTIN BINDING PROTEINS,3,170788; 56217; 227157
MPP7-DLG1-LIN7A complex,PLASMA MEMBRANE,3,108030; 13383; 75739
MPP7-DLG1-LIN7C complex,PLASMA MEMBRANE,3,13383; 75739; 22343
MR-UBC9-SRC1 complex,ACTIN BINDING PROTEINS|CYTOSOL|ENDOPLASMIC RETICULUM|PLASMA MEMBRANE|UNKNOWN,3,110784; 19055; 17977
MRG15-PAM14-RB complex,NUCLEUS,3,19645; 21761; 67568
MRIP-MBS-RHOA complex,ACTIN BINDING PROTEINS,3,17931; 11848; 26936
MRIT complex,CYTOSOL,3,12633; 12048; 12370
MRN complex (MRE11-RAD50-NBN complex),NUCLEUS,3,27354; 17535; 19360
MRN-TRRAP complex (MRE11A-RAD50-NBN-TRRAP complex),NUCLEUS,4,27354; 17535; 19360; 100683
"mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)",LARGE PROTEIN COMPLEX,10,74108; 50912; 227715; 70640; 24127; 19704; 68134; 24128; 326622; 109075
MSH2-MSH3 complex,NUCLEUS,2,17686; 17685
MSH2-MSH6 complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,17685; 17688
MSH2-MSH6-PMS1-MLH1 complex,NUCLEUS,4,17350; 17685; 17688; 227099
MSH2-MSH6-PMS2-MLH1 complex,NUCLEUS,4,17350; 17685; 17688; 18861
MSH2/6-BLM-p53-RAD51 complex,NUCLEUS,5,22059; 17685; 17688; 12144; 19361
MSH4-MSH5-GPS2 complex,LARGE PROTEIN COMPLEX|NUCLEUS|UNKNOWN,3,55993; 17687; 56310
mSin3A complex,NUCLEUS,5,19646; 433759; 245688; 15182; 20466
mSin3A-HDAC1-HDAC2 complex,NUCLEUS,3,433759; 15182; 20466
MSL complex,NUCLEUS,5,76719; 17692; 67773; 77853; 74026
Mss4-Itga3 complex,CYTOSOL|PLASMA MEMBRANE,2,16400; 98710
